text,intent
Tell me about probiotics,probiotic_info
How to improve digestion?,gut_health
What foods contain fiber?,fiber_info
Explain Shannon diversity,diversity_info
Suggest a diet for gut health,diet_suggestion
Hi,hello
Is kimchi a probiotic?,probiotic_info
My stomach hurts,gut_health
What is microbiome?,gut_health
Does yogurt help gut?,probiotic_info
What can I eat for better digestion?,diet_suggestion
Prebiotics vs probiotics?,probiotic_info
Which foods are high in fiber?,fiber_info
Hello there,hello
What is gut microbiome?,gut_health
Can I eat fermented food?,probiotic_info
Improve gut health naturally,gut_health
Shannon index meaning?,diversity_info
How to increase microbiome diversity?,diversity_info
Give me a gut friendly diet,diet_suggestion
Probiotics for kids?,probiotic_info
Do bananas have fiber?,fiber_info
Hi assistant,hello
Tell me about gut bacteria,gut_health
How to balance gut flora?,gut_health
Fermented food list?,probiotic_info
Role of fiber in digestion?,fiber_info
What is a diverse gut?,diversity_info
Meal plan for gut health?,diet_suggestion
Hey,hello
Best foods for microbiome?,diet_suggestion
Foods to boost probiotics?,probiotic_info
What are soluble fibers?,fiber_info
Symptoms of poor gut health?,gut_health
Can probiotics help?,probiotic_info
Fiber and gut connection?,fiber_info
What increases Shannon index?,diversity_info
Lunch ideas for gut?,diet_suggestion
Is kefir good?,probiotic_info
Foods rich in prebiotics?,fiber_info
Morning,hello
What causes low diversity?,diversity_info
Healthy gut diet?,diet_suggestion
How to get good bacteria?,probiotic_info
What to eat for constipation?,diet_suggestion
Difference between probiotic and prebiotic,probiotic_info
Why is fiber important?,fiber_info
My digestion is weak,gut_health
Say hello,hello
Shannon score low,diversity_info
Tips to diversify microbiome,diversity_info
Can you suggest a meal?,diet_suggestion
Gut health explanation,gut_health
Benefits of kimchi?,probiotic_info
Improve my gut flora,gut_health
Vegetables with fiber?,fiber_info
Importance of gut diversity?,diversity_info
Food for healthy digestion,diet_suggestion
How to feed microbiome?,diet_suggestion
Hi bot,hello
Which yogurt has probiotics?,probiotic_info
Diet for low fiber score,diet_suggestion
What is probiotic supplement?,probiotic_info
Do oats help gut?,fiber_info
Track my gut health,gut_health
Need diet tips for microbiome,diet_suggestion
Can I eat pickles?,probiotic_info
Hello again,hello
Why is my microbiome bad?,gut_health
Fiber foods examples?,fiber_info
Ways to increase good bacteria?,probiotic_info
Low diversity solution?,diversity_info
Dinner for gut?,diet_suggestion
Gastro health guide,gut_health
High fiber snacks?,fiber_info
Does sauerkraut help?,probiotic_info
Healthy gut tips,diet_suggestion
Tell me about digestion,gut_health
My fiber score is low,fiber_info
Foods for good gut diversity,diversity_info
Eat for probiotics,probiotic_info
Hi there,hello
Best probiotic drinks?,probiotic_info
Gut flora recovery?,gut_health
Balanced microbiome diet,diet_suggestion
Gut biome and diversity?,diversity_info
Prebiotic rich diet,fiber_info
How to fix digestion?,gut_health
Kimchi vs yogurt?,probiotic_info
Why eat fiber?,fiber_info
Gut diet suggestions?,diet_suggestion
Low fiber fix?,fiber_info
Fiber checklist,fiber_info
Whatâ€™s in kombucha?,probiotic_info
Balanced gut meal?,diet_suggestion
Shannon score meaning?,diversity_info
Gut test low diversity?,diversity_info
Meal for probiotics?,diet_suggestion
Poor gut health signs,gut_health
Probiotic examples,probiotic_info
Explain prebiotics,fiber_info
Healthy gut challenge,diet_suggestion
Track my fiber intake,fiber_info
